T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
16.9,25.5,10.5,1019.9,65,2.3,5.6, ,50.91666666666666
17.2,25.5,9.3,1012.8,61,2.4,6.7,o,120.20833333333331
19.3,28.6,10.6,1009.5,65,2.6,4.3, ,137.125
18.9,28.6,11.2,1012.8,73,0.8,1.5,o,197.08333333333331
22.9,29.3,17.0,1012.4,78,1.6,7.6,o,166.375
22.8,29.3,18.0,1013.7,72,1.9,7.2, ,126.58333333333331
21.9,29.1,15.2,1014.1,69,2.3,11.3, ,94.91666666666669
23.2,28.6,18.4,1008.5,65,1.4,6.5, ,133.95833333333334
20.0,27.6,14.5,1009.8,42,1.9,6.7, ,69.25
19.2,27.6,11.1,1013.0,49,2.6,5.7, ,79.29166666666667
17.3,19.0,15.2,1011.0,94,1.8,14.8, ,31.625
17.4,22.1,14.6,1012.6,92,1.9,6.7, ,20.416666666666668
16.1,22.1,12.8,1013.8,84,1.8,5.6,o,61.125
18.6,27.3,12.5,1014.0,79,2.6,3.9, ,49.583333333333336
19.4,27.6,14.0,1015.2,79,2.3,7.8, ,34.916666666666664
18.1,24.1,13.3,1021.1,60,2.7,12.2, ,47.5
21.3,28.3,14.2,1014.7,70,1.6,4.1, ,128.83333333333334
21.6,27.3,15.8,1015.3,71,2.6,7.8, ,56.333333333333336
17.7,27.3,16.0,1015.3,92,1.9,11.5, ,20.291666666666668
21.1,28.3,14.0,1014.8,69,2.4,5.4, ,59.16666666666666
22.5,30.2,14.5,1014.8,68,2.6,9.1, ,83.83333333333333
24.9,31.7,15.8,1014.8,65,2.6,5.9, ,89.375
26.8,35.1,18.5,1011.7,68,2.3,2.6, ,101.375
28.6,36.5,20.3,1012.4,59,1.8,9.3, ,109.75
27.7,35.6,20.4,1011.7,54,2.7,7.4, ,42.91666666666666
25.1,30.8,19.0,1010.4,70,2.1,3.7, ,47.25
26.4,32.5,20.3,1007.4,64,1.9,2.4, ,81.20833333333333
28.7,34.7,21.0,1004.7,53,1.9,9.4, ,52.29166666666666
24.4,34.7,19.0,1004.6,76,3.1,7.0, ,28.45833333333333
23.9,31.4,19.2,1010.2,69,1.9,9.8, ,49.5
25.2,32.2,18.2,1012.0,56,2.6,6.7, ,75.16666666666667
25.8,32.5,18.6,1010.3,58,2.7,9.1, ,53.125
24.9,32.2,19.0,1013.7,74,2.3,7.0, ,54.708333333333336
26.4,32.5,20.0,1012.8,68,2.6,3.0, ,52.625
27.6,34.3,20.8,1013.0,65,3.1,5.9, ,51.375
32.0,40.6,21.6,1003.9,45,2.7,4.3, ,94.33333333333331
32.8,40.6,26.0,1005.8,45,1.9,7.2, ,92.91666666666669
31.8,39.6,25.4,1005.6,35,1.9,11.1, ,80.20833333333333
30.4,39.1,22.2,1005.9,51,1.9,13.0, ,71.66666666666667
28.8,37.1,22.8,1008.0,59,1.9,15.7, ,31.83333333333333
30.2,37.1,23.5,1006.7,59,1.9,17.6, ,47.66666666666666
31.2,39.4,24.2,1005.8,52,2.7,5.4, ,48.125
30.2,37.6,23.6,1006.3,47,2.6,4.4, ,56.25
30.9,38.9,21.7,1006.7,44,2.7,3.0, ,103.41666666666669
35.7,42.7,27.6,1003.4,21,1.9,14.4, ,76.875
34.1,42.7,27.0,1003.2,29,1.9,12.2, ,86.375
35.1,42.7,25.7,1001.6,35,2.3,8.3, ,77.70833333333333
28.3,38.7,23.8,1006.5,65,2.4,7.8, ,48.5
29.9,35.9,22.0,1007.4,56,2.6,4.4, ,55.083333333333336
28.7,35.8,24.2,1006.5,58,1.9,7.0, ,67.45833333333333
31.4,41.5,24.9,1002.2,50,1.8,14.8, ,18.875
33.2,41.5,22.4,1002.0,38,2.4,14.6, ,61.5
35.8,42.6,27.0,1000.4,30,2.6,11.3, ,68.91666666666667
37.8,45.5,28.0,996.7,29,2.6,10.9, ,77.375
35.3,45.5,24.4,999.2,33,2.3,17.0, ,63.91666666666666
33.8,45.0,24.8,1001.3,26,2.6,6.7, ,63.66666666666666
35.3,40.6,28.9,1000.7,30,1.9,15.2, ,63.625
30.1,40.6,23.5,1002.2,47,1.9,14.3, ,25.45833333333333
31.6,39.9,22.2,1003.4,46,1.9,8.5, ,20.75
28.7,34.1,23.6,1004.3,59,1.9,6.7, ,40.5
35.1,42.5,26.0,999.4,42,2.6,7.2, ,64.83333333333333
36.3,42.9,27.7,998.7,38,2.6,6.3, ,63.0
37.6,42.4,30.0,998.8,32,1.9,18.7, ,73.83333333333333
31.9,41.6,28.0,998.8,52,2.3,9.4, ,31.875
27.0,39.7,20.5,1000.2,82,1.9,3.9, ,54.958333333333336
30.8,34.9,25.5,999.4,66,1.9,3.1, ,77.75
35.9,41.6,29.0,996.7,54,1.9,8.5, ,75.33333333333333
33.0,42.3,27.2,997.8,56,1.9,13.0, ,32.583333333333336
30.4,34.4,25.3,997.0,70,1.9,5.6, ,28.375
26.5,36.8,22.4,994.9,86,1.8,6.3, ,28.541666666666668
31.5,36.8,24.0,994.7,62,1.8,11.7, ,51.04166666666666
32.7,38.0,27.0,996.9,56,1.9,14.1, ,40.0
31.9,37.8,25.0,1001.8,61,1.9,4.3, ,37.583333333333336
33.8,38.9,27.0,1001.1,54,1.9,7.0, ,37.625
33.4,39.8,27.6,999.7,54,1.9,13.0, ,34.375
28.3,33.6,23.3,998.4,87,1.9,1.7, ,42.29166666666666
31.2,35.8,24.8,998.6,77,1.9,2.8, ,45.66666666666666
29.7,35.8,25.2,998.9,82,1.9,2.6, ,40.625
29.9,33.7,23.3,1000.6,78,2.6,4.8, ,26.875
31.1,35.6,26.4,998.5,73,1.9,10.9, ,30.70833333333333
33.4,37.0,27.0,994.1,61,1.9,17.2, ,10.208333333333334
30.1,34.7,26.0,997.7,76,1.9,0.7, ,43.04166666666666
29.1,34.7,24.4,999.2,82,1.9,4.8, ,19.416666666666668
31.5,35.7,25.7,999.9,74,1.9,8.1, ,8.416666666666666
31.3,36.5,27.3,999.3,73,2.7,8.7, ,0.0
30.0,36.6,27.0,998.8,76,2.6,16.9, ,0.0
29.7,34.7,24.6,1000.2,74,2.7,11.3, ,4.833333333333333
28.9,31.6,25.0,999.7,77,1.9,4.1, ,15.375
28.4,32.6,25.4,1002.7,77,1.9,0.9, ,19.83333333333333
29.8,33.9,25.0,1003.5,75,1.9,2.6, ,25.791666666666668
31.6,35.5,25.4,1001.9,63,1.9,5.4, ,22.70833333333333
29.4,34.4,26.4,999.9,86,1.8,2.2, ,31.33333333333333
28.8,34.4,25.3,1001.7,88,1.6,1.7, ,47.41666666666666
27.5,30.8,25.0,1000.2,92,1.3,3.0, ,33.791666666666664
31.9,35.8,28.0,1001.8,75,1.9,0.4, ,39.04166666666666
30.9,35.8,28.6,1001.8,78,1.9,3.3, ,41.708333333333336
28.5,33.8,26.2,1002.7,88,1.4,0.0, ,28.75
31.6,35.6,25.8,1002.7,67,2.9,13.0, ,12.25
30.9,35.5,27.7,1001.5,66,1.9,14.6, ,14.5
29.5,34.5,27.6,1002.0,77,1.9,8.5, ,23.916666666666668
32.0,35.6,27.0,1000.9,64,3.4,10.0, ,27.375
31.9,36.2,28.0,1001.1,68,2.6,4.8, ,29.20833333333333
32.4,36.9,28.1,1001.9,68,2.7,5.4, ,36.5
32.2,36.8,28.4,1002.0,61,2.6,14.6, ,27.83333333333333
32.1,36.6,28.0,1000.8,56,1.9,15.4, ,44.125
31.9,36.6,27.5,1001.7,54,1.9,12.8, ,62.25
31.4,36.5,27.6,1005.5,56,1.9,11.7, ,60.125
31.5,36.9,26.6,1005.7,53,1.9,9.4, ,34.666666666666664
31.9,36.9,26.8,1005.8,54,2.7,11.9, ,39.208333333333336
31.0,36.7,26.4,1005.7,54,2.6,10.2, ,38.708333333333336
32.2,37.9,27.3,1005.8,61,1.9,1.3, ,69.95833333333333
31.8,37.9,26.8,1003.5,59,1.9,2.6, ,94.375
32.9,38.0,27.5,1003.3,62,1.9,0.4, ,85.75
30.4,35.9,26.0,1003.6,78,1.6,2.0, ,51.66666666666666
29.1,34.8,27.2,1003.4,76,1.9,4.6, ,39.41666666666666
30.2,36.5,26.2,1002.3,70,1.9,5.7, ,23.95833333333333
28.4,33.9,23.5,1003.8,55,2.6,8.5, ,43.5
29.4,35.1,23.7,1005.3,60,2.3,6.3, ,50.41666666666666
28.6,35.2,25.0,1007.2,64,2.3,3.0, ,55.708333333333336
28.1,35.3,21.5,1011.8,56,2.6,5.6, ,57.125
28.3,35.5,20.6,1011.1,57,3.2,5.0, ,69.375
30.1,36.1,23.7,1007.8,58,3.1,5.7, ,65.375
28.6,35.6,22.7,1009.0,72,1.9,6.5, ,112.29166666666669
28.5,35.4,23.2,1007.3,70,1.9,4.4, ,97.70833333333331
28.6,36.0,21.8,1004.3,65,1.9,6.1, ,80.70833333333333
29.6,35.5,25.0,1011.0,69,1.9,3.7, ,81.625
28.2,34.9,22.9,1012.7,70,1.9,3.9, ,65.375
27.6,34.9,21.5,1013.6,71,1.8,0.4, ,84.375
28.2,36.1,21.9,1011.7,70,1.9,3.5, ,141.95833333333334
27.7,36.2,22.9,1009.9,69,1.9,3.0, ,153.375
26.6,36.2,21.0,1012.0,68,1.6,2.0, ,162.875
26.4,34.4,18.3,1012.8,53,2.1,5.4, ,0.0
25.4,34.4,20.3,1015.0,59,1.9,5.6, ,49.333333333333336
24.7,33.3,18.5,1014.0,61,2.3,3.5, ,107.33333333333331
22.3,29.8,15.6,1016.0,73,1.6,1.1, ,273.625
22.9,31.4,16.2,1016.1,73,1.4,0.9,o,256.9583333333333
23.4,31.8,17.3,1015.8,75,1.6,0.4, ,185.08333333333331
23.9,31.8,18.6,1014.2,73,1.8,0.4, ,249.5
21.9,30.2,16.1,1014.8,79,0.5,1.1,o,365.75
21.9,29.0,17.1,1016.0,75,1.1,1.9,o,241.875
22.1,29.8,16.1,1015.0,77,1.3,0.7, ,176.875
22.3,29.3,16.1,1014.9,64,0.8,5.4, ,353.0416666666667
22.4,29.8,16.5,1012.0,65,1.1,3.5, ,257.4166666666667
22.6,32.0,15.0,1011.9,66,1.6,0.0, ,204.75
18.5,27.7,11.5,1017.6,68,1.3,0.9, ,207.83333333333331
18.6,27.7,11.4,1016.4,69,1.1,0.4,o,268.1666666666667
18.8,28.5,11.5,1015.4,69,0.8,1.3,o,278.3333333333333
19.3,28.0,13.0,1014.7,61,1.9,5.7, ,157.5
20.0,29.1,11.9,1012.6,64,1.4,0.9, ,156.375
18.4,29.1,13.5,1011.4,71,1.3,2.6, ,200.5
19.3,28.0,13.8,1014.7,81,0.6,1.7,o,212.125
17.9,26.2,13.5,1016.2,75,0.8,2.0,o,190.5
17.6,24.6,11.2,1016.1,75,0.8,7.0,o,236.41666666666663
17.8,26.2,11.0,1017.1,79,0.6,2.0,o,286.375
20.2,27.0,12.0,1015.8,68,1.0,1.3,o,288.0833333333333
19.2,26.9,11.6,1015.4,78,1.0,4.8,o,302.4583333333333
14.8,21.0,6.8,1016.4,63,2.4,5.4, ,163.0
14.6,21.3,6.0,1017.1,59,2.6,8.1, ,161.375
15.2,22.2,7.0,1016.5,60,2.4,7.0, ,157.375
14.4,21.1,6.8,1019.1,65,1.6,5.6,o,245.91666666666663
12.6,21.0,0.0,1018.9,68,1.4,2.6,o,264.5833333333333
13.7,21.0,5.6,1018.8,71,1.3,1.5,o,253.29166666666663
13.3,19.3,5.5,1021.9,62,1.9,7.8, ,181.20833333333331
14.4,21.5,5.5,1021.0,60,1.8,8.9,o,210.875
16.3,22.5,7.6,1020.6,64,1.4,8.1, ,255.33333333333331
